id	course_name	course_language	course_short_name	categories	universities	categories_name	universities_name
412	Power Onboarding	en	poweronboarding	[13]	[54]	 Business & Management	 Northwestern University
413	機率 (Probability)	zh-tw	prob	[5, 15]	[75]	 Mathematics + Engineering	 National Taiwan University
414	Finding Hidden Messages in DNA (Bioinformatics I)	en	hiddenmessages	[1, 5, 10, 12]	[53]	 Computer Science: Theory + Mathematics + Biology & Life Sciences + Computer Science: Software Engineering	 University of California, San Diego
415	操作系统原理（Operating Systems）	zh-cn	os	[11]	[163]	 Computer Science: Systems & Security	 Peking University
416	Healthcare Data Visualization	en	healthdatavisual	[3, 15]	[9]	 Medicine + Engineering	 Georgia Institute of Technology
417	Intermediate Algebra	en	algebra	[5]	[30]	 Mathematics	 University of California, Irvine
418	Science, Technology, and Society in China III: The Present & Policy Implications	en	stschina3	[20]	[35]	 Social Sciences	 The Hong Kong University of Science and Technology
419	程序设计实习 / Practice on Programming	zh-cn	pkupop	[12]	[163]	 Computer Science: Software Engineering	 Peking University
420	Dino 101: Dinosaur Paleobiology	en	dino101	[9, 10]	[146]	 Physical & Earth Sciences + Biology & Life Sciences	 University of Alberta
421	Approche pluridisciplinaire du dopage	fr	dopage	[8, 20]	[159]	 Health & Society + Social Sciences	 University of Lausanne
422	Understanding China, 1700-2000: A Data Analytic Approach, Part 2	en	newchinahistory2	[6, 20]	[35]	 Humanities  + Social Sciences	 The Hong Kong University of Science and Technology
423	How Green Is That Product? An Introduction to Life Cycle Environmental Assessment	en	introtolca	[15, 16, 25]	[54]	 Engineering + Statistics and Data Analysis + Energy & Earth Sciences	 Northwestern University
424	From the Repertoire: Western Music History through Performance	en	musichistoryperforms	[6, 18]	[79]	 Humanities  + Music, Film, and Audio	 Curtis Institute of Music
425	Latin American Migration	en	latinmigration	[20]	[28]	 Social Sciences	 The Ohio State University
426	Spacebooks. An Introduction To Extraterrestrial Literature	en	spacebooks	[6, 18]	[93]	 Humanities  + Music, Film, and Audio	 University of Zurich
427	Computational Molecular Evolution	en	molevol	[10, 16]	[57]	 Biology & Life Sciences + Statistics and Data Analysis	 Technical University of Denmark (DTU)
428	Content Strategy for Professionals 2: Expanding Your Content’s Impact and Reach	en	growingaudiences	[4, 13]	[54]	 Information, Tech & Design + Business & Management	 Northwestern University
429	Information Security and Risk Management in Context	en	inforiskman	[4, 11, 13]	[15]	 Information, Tech & Design + Computer Science: Systems & Security + Business & Management	 University of Washington
430	Introduction to Chemistry:  Structures and Solutions	en	chem992	[9, 24, 26]	[7]	 Physical & Earth Sciences + Chemistry + Teacher Professional Development	 Duke University
431	Sports and Building Aerodynamics	en	spobuildaerodynamics	[4, 15, 23]	[177]	 Information, Tech & Design + Engineering + Physics	 Eindhoven University of Technology
432	Emerging Trends & Technologies in the Virtual K-12 Classroom	en	k12virtualtrends	[4, 14, 26]	[30]	 Information, Tech & Design + Education + Teacher Professional Development	 University of California, Irvine
433	An Introduction to Interactive Programming in Python (Part 2)	en	interactivepython2	[12]	[13]	 Computer Science: Software Engineering	 Rice University
434	Analytical Chemistry / Instrumental Analysis	en	analyticalchem	[24]	[13]	 Chemistry	 Rice University
435	Learn to Program: Crafting Quality Code	en	programming2	[12]	[11]	 Computer Science: Software Engineering	 University of Toronto
436	Sustainable Agricultural Land Management	en	sustainableag	[13, 19]	[31]	 Business & Management + Food and Nutrition	 University of Florida
437	GPS: An Introduction to Satellite Navigation, with an interactive Worldwide Laboratory using Smartphones	en	gpslab	[9, 15]	[1]	 Physical & Earth Sciences + Engineering	 Stanford University
438	Core Concepts in Data Analysis	en	datan	[16]	[160]	 Statistics and Data Analysis	 Higher School of Economics
439	Introduction to Household Water Treatment and Safe Storage	en	hwts	[]	[16]		 École Polytechnique Fédérale de Lausanne
440	Экономика для неэкономистов (Economics for non-economists)	ru	ecnonec	[2]	[160]	 Economics & Finance	 Higher School of Economics
441	The Changing Global Order	en	globalorder	[6, 20, 21]	[25, 49]	 Humanities  + Social Sciences + Law	 Universiteit Leiden + University of Geneva
442	Coding the Matrix: Linear Algebra through Computer Science Applications	en	matrix	[1, 5, 16, 17]	[22]	 Computer Science: Theory + Mathematics + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 Brown University
443	Emergence of Life	en	emergenceoflife	[9, 10]	[17]	 Physical & Earth Sciences + Biology & Life Sciences	 University of Illinois at Urbana-Champaign
444	Software Security 	en	softwaresec	[11]	[32]	 Computer Science: Systems & Security	 University of Maryland, College Park
445	Analyzing the Universe	en	analyze	[23]	[67]	 Physics	 Rutgers the State University of New Jersey
446	数学之旅 The Journey of Mathematics	zh-cn	sjtuma153	[5]	[150]	 Mathematics	 Shanghai Jiao Tong University
447	VLSI CAD:  Logic to Layout	en	vlsicad	[11, 15]	[17]	 Computer Science: Systems & Security + Engineering	 University of Illinois at Urbana-Champaign
448	Assessment and Teaching of 21st Century Skills	en	atc21s	[14, 26]	[33]	 Education + Teacher Professional Development	 The University of Melbourne
449	Genomic and Precision Medicine	en	genomicmedicine	[3]	[10]	 Medicine	 University of California, San Francisco
450	Social Psychology	en	socialpsychology	[8, 13, 14, 20, 26]	[34]	 Health & Society + Business & Management + Education + Social Sciences + Teacher Professional Development	 Wesleyan University
451	中國古代歷史與人物－－秦始皇	zh-tw	chinesehistory	[6]	[75]	 Humanities 	 National Taiwan University
452	Linear and Discrete Optimization	en	linearopt	[1, 5]	[16]	 Computer Science: Theory + Mathematics	 École Polytechnique Fédérale de Lausanne
453	Social and Economic Networks:  Models and Analysis	en	networksonline	[1, 2, 5, 16, 20]	[1]	 Computer Science: Theory + Economics & Finance + Mathematics + Statistics and Data Analysis + Social Sciences	 Stanford University
454	Scaling operations: Linking strategy and execution	en	scalingoperations	[2, 13, 16]	[54]	 Economics & Finance + Business & Management + Statistics and Data Analysis	 Northwestern University
455	Interactive Computer Graphics with WebGL	en	webgl	[4, 12]	[120]	 Information, Tech & Design + Computer Science: Software Engineering	 University of New Mexico
456	Big Data Science with the BD2K-LINCS Data Coordination and Integration Center	en	bd2klincs	[3, 5, 10, 16, 17]	[27]	 Medicine + Mathematics + Biology & Life Sciences + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 Icahn School of Medicine at Mount Sinai
457	Probabilistic Graphical Models	en	pgm	[17]	[1]	 Computer Science: Artificial Intelligence	 Stanford University
458	Enhance Your Career and Employability Skills	en	career	[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]	[26]	 Computer Science: Theory + Economics & Finance + Medicine + Information, Tech & Design + Mathematics + Humanities  + Health & Society + Physical & Earth Sciences + Biology & Life Sciences + Computer Science: Systems & Security + Computer Science: Software Engineering + Business & Management + Education + Engineering + Statistics and Data Analysis + Computer Science: Artificial Intelligence + Music, Film, and Audio + Food and Nutrition + Social Sciences + Law + Arts + Physics + Chemistry + Energy & Earth Sciences + Teacher Professional Development	 University of London
459	Introduction to Acoustics (Part 1)	en	acoustics1	[15, 18, 23]	[178]	 Engineering + Music, Film, and Audio + Physics	 Korea Advanced Institute of Science and Technology
460	Chicken Behaviour and Welfare	en	chickens	[10, 19]	[14]	 Biology & Life Sciences + Food and Nutrition	 The University of Edinburgh
461	Initiation à la théorie des distributions	fr	distributions	[5]	[66]	 Mathematics	 École Polytechnique
462	The Social Context of Mental Health and Illness	en	mentalhealth	[8]	[11]	 Health & Society	 University of Toronto
463	Women and the Civil Rights Movement	en	womencivilrights	[6]	[32]	 Humanities 	 University of Maryland, College Park
464	The Caltech-JPL Summer School on Big Data Analytics	en	bigdataschool	[16]	[12]	 Statistics and Data Analysis	 Caltech
465	Fundamentals of Pharmacology	en	pharm101	[3]	[6]	 Medicine	 University of Pennsylvania
466	Geodesign: Change Your World	en	geodesign	[4, 9, 25]	[51]	 Information, Tech & Design + Physical & Earth Sciences + Energy & Earth Sciences	 The Pennsylvania State University
467	American Education Reform: History, Policy, Practice	en	edref	[6, 14, 20]	[6]	 Humanities  + Education + Social Sciences	 University of Pennsylvania
468	Preparing for the AP* Calculus AB and BC Exams (Part 1 - Differential Calculus)	en	apcalcpart1	[5]	[119]	 Mathematics	 University of Houston System
469	History and Future of (Mostly) Higher Education	en	highered	[4, 6, 14, 20, 26]	[7]	 Information, Tech & Design + Humanities  + Education + Social Sciences + Teacher Professional Development	 Duke University
470	Teaching Statistical Thinking: Part 1 Descriptive Statistics	en	teachstats1	[14, 16, 26]	[7]	 Education + Statistics and Data Analysis + Teacher Professional Development	 Duke University
471	Statistics for Genomic Data Science	en	genstats	[4, 9, 10, 16]	[8]	 Information, Tech & Design + Physical & Earth Sciences + Biology & Life Sciences + Statistics and Data Analysis	 Johns Hopkins University
472	Applied Logistic Regression	en	logisticregression	[2, 3, 4, 5, 8, 16]	[28]	 Economics & Finance + Medicine + Information, Tech & Design + Mathematics + Health & Society + Statistics and Data Analysis	 The Ohio State University
473	Initiation à la programmation (en Java)	fr	initprogjava	[12]	[16]	 Computer Science: Software Engineering	 École Polytechnique Fédérale de Lausanne
474	Video Games and Learning	en	videogameslearning	[4, 14]	[65]	 Information, Tech & Design + Education	 University of Wisconsin–Madison
475	The Clinical Psychology of Children and Young People	en	clinicalpsych	[3, 8, 10, 20, 26]	[14]	 Medicine + Health & Society + Biology & Life Sciences + Social Sciences + Teacher Professional Development	 The University of Edinburgh
476	Sleep: Neurobiology, Medicine, and Society	en	sleep	[3, 8, 10]	[3]	 Medicine + Health & Society + Biology & Life Sciences	 University of Michigan
477	Nutrition and Physical Activity for Health	en	nutritionforhealth	[14, 19]	[36]	 Education + Food and Nutrition	 University of Pittsburgh
478	The Fundamentals of Computing Specialization Capstone Exam	en	foccapstone2	[1, 12]	[13]	 Computer Science: Theory + Computer Science: Software Engineering	 Rice University
479	Sustainability in Practice	en	sustaininprac	[4, 6, 13, 20, 25]	[6]	 Information, Tech & Design + Humanities  + Business & Management + Social Sciences + Energy & Earth Sciences	 University of Pennsylvania
480	Understanding Video Games	en	uvg	[4, 6, 18, 22]	[146]	 Information, Tech & Design + Humanities  + Music, Film, and Audio + Arts	 University of Alberta
481	Introduction to Computational Arts: Audio	en	compartsaudio	[18]	[117]	 Music, Film, and Audio	 The State University of New York
482	市场营销概论 (中文版）	zh-cn	whartonmarketingzh	[13]	[6]	 Business & Management	 University of Pennsylvania
483	Physics 1 for Physical Science Majors	en	physics1	[23]	[71, 126]	 Physics	 University of Colorado Boulder + University of Colorado System
484	Performance Assessment in the Virtual Classroom	en	virtualassessment	[14]	[30]	 Education	 University of California, Irvine
485	Discrete Inference and Learning in Artificial Vision	en	artificialvision	[17]	[128]	 Computer Science: Artificial Intelligence	 CentraleSupélec
486	Molecular Evolution (Bioinformatics IV)	en	molecularevolution	[1, 4, 5, 10, 12]	[53]	 Computer Science: Theory + Information, Tech & Design + Mathematics + Biology & Life Sciences + Computer Science: Software Engineering	 University of California, San Diego
487	Preparing for the AP Physics 1 Exam	en	apphysics1	[23]	[119]	 Physics	 University of Houston System
488	Virtual Teacher Final Project	en	vtfinalproject	[14]	[30]	 Education	 University of California, Irvine
489	Введение в российское налоговое право (Introduction to the Russian Tax Law)	ru	taxlaw	[2, 21]	[160]	 Economics & Finance + Law	 Higher School of Economics
490	Innovación educativa con recursos abiertos	es	innovacionrea	[14]	[62]	 Education	 Tecnológico de Monterrey
491	The Art and Archaeology of Ancient Nubia	en	ancientnubia	[6, 20, 22]	[23]	 Humanities  + Social Sciences + Arts	 Emory University
492	Web Intelligence and Big Data	en	bigdata	[17]	[19]	 Computer Science: Artificial Intelligence	
493	Curanderismo Part 1: Traditional Healing of the Body	en	tradhealingbody	[3, 6, 8, 19]	[120]	 Medicine + Humanities  + Health & Society + Food and Nutrition	 University of New Mexico
494	Powerful Tools for Teaching and Learning: Digital Storytelling	en	digitalstorytelling	[4, 14, 26]	[119]	 Information, Tech & Design + Education + Teacher Professional Development	 University of Houston System
495	Pattern Discovery in Data Mining	en	patterndiscovery	[4, 12, 16]	[17]	 Information, Tech & Design + Computer Science: Software Engineering + Statistics and Data Analysis	 University of Illinois at Urbana-Champaign
496	Networks: Friends, Money, and Bytes	en	friendsmoneybytes	[2, 4, 11]	[4]	 Economics & Finance + Information, Tech & Design + Computer Science: Systems & Security	 Princeton University
497	L'art des structures 1 : Câbles et arcs	fr	structures	[15]	[16]	 Engineering	 École Polytechnique Fédérale de Lausanne
498	Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies	en	dementiacare	[3, 8, 20]	[8]	 Medicine + Health & Society + Social Sciences	 Johns Hopkins University
499	Data Analysis and Statistical Inference 	en	statistics	[16, 26]	[7]	 Statistics and Data Analysis + Teacher Professional Development	 Duke University
500	Common Core in Action: Math Classroom Challenges- Using Formative Assessment to Guide Instruction	en	ccss-math1	[5, 14, 26]	[103]	 Mathematics + Education + Teacher Professional Development	 New Teacher Center
501	電磁學(Electromagnetics)	zh-tw	ntuem	[9]	[75]	 Physical & Earth Sciences	 National Taiwan University
502	Cracking the Creativity Code: Part 1- Discovering Ideas	en	creativity	[2, 4, 13, 15, 20]	[129]	 Economics & Finance + Information, Tech & Design + Business & Management + Engineering + Social Sciences	 Technion - Israel Institute of Technology
503	Inquiry Science Learning: Perspectives & Practices 4 - Student-Centered Inquiry	en	scistudentinquiry	[14, 26]	[13]	 Education + Teacher Professional Development	 Rice University
504	Введение в биоинформатику (Introduction to Bioinformatics)	ru	bioinfo	[1, 4, 8, 10]	[179]	 Computer Science: Theory + Information, Tech & Design + Health & Society + Biology & Life Sciences	 Saint Petersburg State University
505	Building an Information Risk Management Toolkit	en	inforisk	[4, 11, 13]	[15]	 Information, Tech & Design + Computer Science: Systems & Security + Business & Management	 University of Washington
506	Australian literature: a rough guide	en	auslitroughguide	[6, 22]	[156]	 Humanities  + Arts	 University of Western Australia
507	English Composition I	en	composition	[6, 14, 20, 26]	[7]	 Humanities  + Education + Social Sciences + Teacher Professional Development	 Duke University
508	关爱生命--实用急救与自救技能	zh-cn	sjtufirstaid	[3, 8]	[150]	 Medicine + Health & Society	 Shanghai Jiao Tong University
509	Teaching and Assessing Clinical Skills	en	clinicalskills	[3, 8]	[3]	 Medicine + Health & Society	 University of Michigan
510	C++ For C Programmers	en	cplusplus4c	[12]	[56]	 Computer Science: Software Engineering	 University of California, Santa Cruz
511	Nudge-it: Understanding obesity	en	nudgeit	[2, 3, 8, 10, 19]	[14]	 Economics & Finance + Medicine + Health & Society + Biology & Life Sciences + Food and Nutrition	 The University of Edinburgh
512	Launching New Ventures	en	venture	[2, 4, 13]	[16]	 Economics & Finance + Information, Tech & Design + Business & Management	 École Polytechnique Fédérale de Lausanne
513	Neuroethics	en	neuroethics	[8]	[6]	 Health & Society	 University of Pennsylvania
514	Understanding Research: An Overview for Health Professionals	en	researchforhealth	[3, 8]	[10]	 Medicine + Health & Society	 University of California, San Francisco
515	Curanderismo Part 3: Traditional Healing with Cultural Traditions	en	tradhealingculture	[3, 6, 8, 19]	[120]	 Medicine + Humanities  + Health & Society + Food and Nutrition	 University of New Mexico
516	Nutrition for Health Promotion and Disease Prevention	en	nutrition	[2, 3, 8, 19]	[10]	 Economics & Finance + Medicine + Health & Society + Food and Nutrition	 University of California, San Francisco
517	Forests and Humans: From the Midwest to Madagascar	en	forestshumans	[9, 10, 25]	[65]	 Physical & Earth Sciences + Biology & Life Sciences + Energy & Earth Sciences	 University of Wisconsin–Madison
518	Audio Signal Processing for Music Applications	en	audio	[4, 15, 18]	[1, 225]	 Information, Tech & Design + Engineering + Music, Film, and Audio	 Stanford University
519	Statistical Reasoning for Public Health 1: Estimation, Inference, & Interpretation	en	statreasoning	[3, 5, 10]	[8]	 Medicine + Mathematics + Biology & Life Sciences	 Johns Hopkins University
520	Introduction to Tissue Engineering	en	tissue101	[10, 15]	[24]	 Biology & Life Sciences + Engineering	 Hebrew University of Jerusalem
521	AstroTech: The Science and Technology behind Astronomical Discovery	en	astrotech	[9, 16, 23]	[14]	 Physical & Earth Sciences + Statistics and Data Analysis + Physics	 The University of Edinburgh
522	История экономической мысли (History of Economic Thought)	ru	historyofec	[2]	[160]	 Economics & Finance	 Higher School of Economics
523	Live!:  A History of Art for Artists, Animators and Gamers	en	livearthistory	[6, 18, 22]	[59]	 Humanities  + Music, Film, and Audio + Arts	 California Institute of the Arts
524	Compilers	en	compilers	[11, 12]	[1]	 Computer Science: Systems & Security + Computer Science: Software Engineering	 Stanford University
525	Introducción a la Contabilidad Financiera	es	whartonaccountinges	[13]	[6]	 Business & Management	 University of Pennsylvania
526	Preparing for the AP* Calculus AB and BC Exams	en	apcalc	[5]	[119]	 Mathematics	 University of Houston System
527	Dairy Production and Management	en	dairy	[10, 19]	[51]	 Biology & Life Sciences + Food and Nutrition	 The Pennsylvania State University
528	Сравнительная политика (Comparative Politics)	ru	compol	[20]	[160]	 Social Sciences	 Higher School of Economics
529	Preparation for General Chemistry	en	chemprep	[24]	[67]	 Chemistry	 Rutgers the State University of New Jersey
530	Inspiring Leadership through Emotional Intelligence	en	lead-ei	[13, 14, 20]	[68]	 Business & Management + Education + Social Sciences	 Case Western Reserve University
531	Managerial Accounting: Cost Behaviors, Systems, and Analysis	en	acctcostanalysis	[13]	[17]	 Business & Management	 University of Illinois at Urbana-Champaign
532	Cryptography II	en	crypto2	[1, 11]	[1]	 Computer Science: Theory + Computer Science: Systems & Security	 Stanford University
533	Financial Planning for Young Adults	en	personalfinance	[2, 13]	[17]	 Economics & Finance + Business & Management	 University of Illinois at Urbana-Champaign
534	医学图像处理技术 Medical Image Analysis	zh-cn	sjtumia	[3, 12]	[150]	 Medicine + Computer Science: Software Engineering	 Shanghai Jiao Tong University
535	Modeling Discrete Optimization	en	modelingoptimization	[17]	[33]	 Computer Science: Artificial Intelligence	 The University of Melbourne
536	Programming Mobile Applications for Android Handheld Systems: Part 1	en	androidpart1	[4, 12]	[32]	 Information, Tech & Design + Computer Science: Software Engineering	 University of Maryland, College Park
537	Foundations for Assisting in Home Care	en	hha	[3, 8, 14]	[117]	 Medicine + Health & Society + Education	 The State University of New York
538	Game Theory II: Advanced Applications	en	gametheory2	[1, 2, 17]	[1]	 Computer Science: Theory + Economics & Finance + Computer Science: Artificial Intelligence	 Stanford University
539	Foundations of Teaching for Learning 7: Being a Professional	en	teach7	[14, 26]	[106]	 Education + Teacher Professional Development	 Commonwealth Education Trust
540	Big Data Analytics for Healthcare	en	bigdataanalytics	[3, 15]	[9]	 Medicine + Engineering	 Georgia Institute of Technology
541	Éléments de Géomatique	fr	geomatique	[9, 15]	[16]	 Physical & Earth Sciences + Engineering	 École Polytechnique Fédérale de Lausanne
542	Networked Life	en	networks	[2, 4, 17, 20]	[6]	 Economics & Finance + Information, Tech & Design + Computer Science: Artificial Intelligence + Social Sciences	 University of Pennsylvania
543	Foundational Neuroscience for Perception and Action	en	foundationmedneuro	[3, 10, 26]	[7]	 Medicine + Biology & Life Sciences + Teacher Professional Development	 Duke University
544	Climate Change Policy and Public Health	en	ccandph	[3, 8, 9, 10]	[65]	 Medicine + Health & Society + Physical & Earth Sciences + Biology & Life Sciences	 University of Wisconsin–Madison
545	Health Literacy and Communication for Health Professionals	en	healthliteracy	[3, 8]	[124]	 Medicine + Health & Society	 University of Nebraska
546	東坡詞 (Ci Poetry of Su Dong Po)	zh-tw	dpc	[6]	[75]	 Humanities 	 National Taiwan University
547	Inquiry Science Learning: Perspectives and Practices 2 - Techniques for Success	en	inquirytechniques	[14, 26]	[13]	 Education + Teacher Professional Development	 Rice University
548	Energy and the Earth	en	earthenergy	[9, 15, 25]	[65]	 Physical & Earth Sciences + Engineering + Energy & Earth Sciences	 University of Wisconsin–Madison
549	Introduction to User Interface Design (Part 1)	en	uidesign1	[4]	[9]	 Information, Tech & Design	 Georgia Institute of Technology
550	Wheels of Metals: Urban Mining for a Circular Economy	en	metals	[9, 14, 25]	[25]	 Physical & Earth Sciences + Education + Energy & Earth Sciences	 Universiteit Leiden
551	Student Thinking at the Core	en	corethink	[14, 26]	[37]	 Education + Teacher Professional Development	 Vanderbilt University
552	Representaciones Culturales de las Sexualidades 	es	representaciones	[6, 22]	[80]	 Humanities  + Arts	 Universitat Autònoma de Barcelona
553	Technology and Ethics	en	techethics	[4, 6, 20]	[28]	 Information, Tech & Design + Humanities  + Social Sciences	 The Ohio State University
554	Advanced Instructional Strategies in the Virtual Classroom	en	advancedvirtual	[]	[30]		 University of California, Irvine
555	An Introduction to the U.S. Food System: Perspectives from Public Health	en	foodsys	[8, 19]	[8]	 Health & Society + Food and Nutrition	 Johns Hopkins University
556	Global Affairs Final Project	en	globalaffairsfinal	[20]	[25, 49]	 Social Sciences	 Universiteit Leiden + University of Geneva
557	Principles of Macroeconomics	en	macroeconomics	[2]	[33]	 Economics & Finance	 The University of Melbourne
558	Understanding Russians: Contexts of Intercultural Communication	en	russians	[6]	[160]	 Humanities 	 Higher School of Economics
559	Conception et mise en œuvre d'algorithmes.	fr	algoprog	[1]	[66]	 Computer Science: Theory	 École Polytechnique
560	Институциональная экономика (Institutional economics)	ru	instec	[2]	[160]	 Economics & Finance	 Higher School of Economics
561	Understanding the UK's 2015 General Election	en	ge2015	[6, 13, 16, 20]	[14]	 Humanities  + Business & Management + Statistics and Data Analysis + Social Sciences	 The University of Edinburgh
562	Algorithms, Biology, and Programming for Beginners	en	algobioprogramming	[1, 4, 5, 10, 12]	[53]	 Computer Science: Theory + Information, Tech & Design + Mathematics + Biology & Life Sciences + Computer Science: Software Engineering	 University of California, San Diego
563	American Health Policy: The Structure of the American Health Care System (Part I of II)	en	americanhealthsystem	[2, 8]	[6]	 Economics & Finance + Health & Society	 University of Pennsylvania
564	Subsistence Marketplaces	en	subsistence	[13]	[17]	 Business & Management	 University of Illinois at Urbana-Champaign
565	Algorithmic Thinking (Part 1)	en	algorithmicthink1	[1, 12]	[13]	 Computer Science: Theory + Computer Science: Software Engineering	 Rice University
566	Valuing Projects and Companies	en	valuingcompanies	[2, 13]	[3]	 Economics & Finance + Business & Management	 University of Michigan
567	Volcanic Eruptions: a material science.	en	volcano	[9, 25]	[64]	 Physical & Earth Sciences + Energy & Earth Sciences	 Ludwig-Maximilians-Universität München (LMU)
568	人工智慧(Artificial Intelligence)	zh-tw	ai	[17]	[75]	 Computer Science: Artificial Intelligence	 National Taiwan University
569	Recovering the Humankind's Past and Saving the Universal Heritage	en	recoveringthepast	[6]	[74]	 Humanities 	 Sapienza University of Rome
570	Content Strategy for Professionals 3: Capstone Project	en	contentcapstone	[4, 13]	[54]	 Information, Tech & Design + Business & Management	 Northwestern University
571	Brand Management: Aligning Business, Brand and Behaviour	en	brand	[13]	[26]	 Business & Management	 University of London
572	More Introduction to Financial Accounting	en	accountingmore	[2, 13]	[6]	 Economics & Finance + Business & Management	 University of Pennsylvania
573	Childbirth: A Global Perspective	en	pregnancychildbirth	[6, 8, 10, 20]	[23]	 Humanities  + Health & Society + Biology & Life Sciences + Social Sciences	 Emory University
574	Latino Popular Culture for the Clueless	en	latinopop	[6]	[28]	 Humanities 	 The Ohio State University
575	Computational Photography	en	compphoto	[4, 17]	[9]	 Information, Tech & Design + Computer Science: Artificial Intelligence	 Georgia Institute of Technology
576	Conditions of War and Peace	en	warandpeace	[6, 20]	[76]	 Humanities  + Social Sciences	 The University of Tokyo
577	The Language of Hollywood: Storytelling, Sound, and Color	en	hollywood	[6, 18]	[34]	 Humanities  + Music, Film, and Audio	 Wesleyan University
578	Philosophy and the Sciences	en	philsci	[6, 9, 17, 23]	[14]	 Humanities  + Physical & Earth Sciences + Computer Science: Artificial Intelligence + Physics	 The University of Edinburgh
579	Analysis of Algorithms	en	aofa	[1, 5]	[4]	 Computer Science: Theory + Mathematics	 Princeton University
580	Globalization and You	en	globalization	[2, 6, 20]	[15]	 Economics & Finance + Humanities  + Social Sciences	 University of Washington
581	Engaging Citizens:  A Game Changer for Development?	en	engagecitizen	[2, 4, 6, 20]	[73]	 Economics & Finance + Information, Tech & Design + Humanities  + Social Sciences	 The World Bank Group
582	Rethinking Ageing:  Are we prepared to live longer?	en	ageing	[2, 4, 8, 20]	[33]	 Economics & Finance + Information, Tech & Design + Health & Society + Social Sciences	 The University of Melbourne
583	The Beauty of Kunqu Opera | 崑曲之美	zh-tw	kunqu	[22]	[45]	 Arts	 The Chinese University of Hong Kong
584	 Java程序设计	zh-cn	pkujava	[12]	[163]	 Computer Science: Software Engineering	 Peking University
585	Physique des cellules solaires au silicium	fr	enrpv	[9, 23, 25]	[66]	 Physical & Earth Sciences + Physics + Energy & Earth Sciences	 École Polytechnique
586	Reasoning, Data Analysis, & Writing Final Project	en	reasoningcapstone	[6, 16]	[7]	 Humanities  + Statistics and Data Analysis	 Duke University
587	Vital Signs: Understanding What the Body Is Telling Us	en	vitalsigns	[3, 10]	[6]	 Medicine + Biology & Life Sciences	 University of Pennsylvania
588	Confronting Gender Based Violence: Global Lessons with Case Studies from India	en	gbv	[3, 8, 20]	[8]	 Medicine + Health & Society + Social Sciences	 Johns Hopkins University
589	Ocean Solutions	en	oceansolutions	[9, 10, 25]	[156]	 Physical & Earth Sciences + Biology & Life Sciences + Energy & Earth Sciences	 University of Western Australia
590	Informatik für Ökonomen	de	inf4oec	[4, 13]	[93]	 Information, Tech & Design + Business & Management	 University of Zurich
591	Changing Weather and Climate in the Great Lakes Region	en	greatlakesclimate	[8, 9, 20, 25, 26]	[65]	 Health & Society + Physical & Earth Sciences + Social Sciences + Energy & Earth Sciences + Teacher Professional Development	 University of Wisconsin–Madison
592	Mining Massive Datasets	en	mmds	[11, 17]	[1]	 Computer Science: Systems & Security + Computer Science: Artificial Intelligence	 Stanford University
593	Android Capstone Project	en	androidcapstone	[]	[32, 37]		 University of Maryland, College Park + Vanderbilt University
594	TechniCity	en	techcity	[4]	[28]	 Information, Tech & Design	 The Ohio State University
595	Algorithms, Part I	en	algs4partI	[1, 12]	[4]	 Computer Science: Theory + Computer Science: Software Engineering	 Princeton University
596	Foundations of E-Commerce 	en	ntuecom	[4, 13]	[121]	 Information, Tech & Design + Business & Management	 Nanyang Technological University, Singapore
597	Humanitarian communication : Addressing key challenges	en	hacommunication	[20]	[49]	 Social Sciences	 University of Geneva
598	Exercise Physiology: Understanding the Athlete Within	en	exphys	[3, 10]	[33]	 Medicine + Biology & Life Sciences	 The University of Melbourne
599	Critical Thinking in Global Challenges	en	criticalthinking	[8, 10, 25]	[14]	 Health & Society + Biology & Life Sciences + Energy & Earth Sciences	 The University of Edinburgh
600	Machine Learning	en	machlearning	[16, 17]	[15]	 Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Washington
601	悖论：思维的魔方	zh-cn	paradox	[6]	[163]	 Humanities 	 Peking University
602	操作系统与虚拟化安全	zh-cn	osvirtsecurity	[11]	[163]	 Computer Science: Systems & Security	 Peking University
603	家庭社会学导论	zh-cn	pkufamilysociology	[20]	[163]	 Social Sciences	 Peking University
604	Maps and the Geospatial Revolution	en	maps	[4, 16, 20]	[51]	 Information, Tech & Design + Statistics and Data Analysis + Social Sciences	 The Pennsylvania State University
605	Conversations that Inspire: Coaching Learning, Leadership and Change	en	coaching	[6, 13, 14, 20]	[68]	 Humanities  + Business & Management + Education + Social Sciences	 Case Western Reserve University
606	Beginning Game Programming with C#	en	gameprogramming	[12]	[126]	 Computer Science: Software Engineering	 University of Colorado System
607	Introduction to Sociology	en	soc101	[20]	[4]	 Social Sciences	 Princeton University
608	Algorithms: Design and Analysis, Part 1	en	algo	[1]	[1]	 Computer Science: Theory	 Stanford University
609	Public-Private Partnerships (PPP): How can PPPs help deliver better services?	en	effectiveppp	[2, 6, 13, 15, 20]	[73]	 Economics & Finance + Humanities  + Business & Management + Engineering + Social Sciences	 The World Bank Group
